neutral_take,style_take,dice,fpfn_ratio,log_ratio,s1,s2,tp,fp,fn
0,Old24,0.6514192976392624,0.9087468114868756,-0.09568875882075523,33828,32719,21675,11044,12153
1,Old24,0.7339187357262369,0.13978550876275175,-1.967646111473977,49162,32719,30047,2672,19115
2,Old24,0.6931292593006368,0.06589057043073342,-2.719759936775118,56791,32719,31021,1698,25770
3,Old24,0.7006151970293188,0.04310045185957595,-3.144221797946511,57496,32719,31603,1116,25893
4,Old24,0.6310828447722235,0.06762589928057554,-2.6937642438547336,63823,32719,30463,2256,33360
0,Angry25,0.7271124461277263,58.276595744680854,4.06520056755302,33828,58056,33405,24651,423
1,Angry25,0.8994198735286986,10.411640211640211,2.3429244313720226,49162,58056,48217,9839,945
2,Angry25,0.8812768291727254,1.2045270816491511,0.1860870265470169,56791,58056,50606,7450,6185
3,Angry25,0.8702402381611742,1.0775945683802133,0.07473130562266997,57496,58056,50279,7777,7217
4,Angry25,0.8438697396598266,0.5348443297306017,-0.6257795468929971,63823,58056,51425,6631,12398
0,Angry26,0.7209791210363539,22.58232558139535,3.1171675463939827,33828,57029,32753,24276,1075
1,Angry26,0.865647747925907,3.4584375,1.2408168974769673,49162,57029,45962,11067,3200
2,Angry26,0.8402038306097347,1.0265181058495823,0.026172595752452513,56791,57029,47816,9213,8975
3,Angry26,0.8470115695263043,0.9480764954414054,-0.053320088588603126,57496,57029,48502,8527,8994
4,Angry26,0.8004666865256678,0.5603727190371425,-0.5791531469370483,63823,57029,48369,8660,15454
0,Angry27,0.6899631666266682,37.78981723237598,3.6320396809479023,33828,62009,33062,28947,766
1,Angry27,0.8440690467837836,6.725044563279857,1.9058385519759635,49162,62009,46918,15091,2244
2,Angry27,0.8835690235690236,2.211516136521941,0.7936783149407911,56791,62009,52484,9525,4307
3,Angry27,0.8844818208443161,1.9713732242789497,0.6787303680726331,57496,62009,52850,9159,4646
4,Angry27,0.8586369127090089,0.8149168452198755,-0.20466920135179092,63823,62009,54022,7987,9801
0,Angry28,0.7360674382819294,27.795620437956206,3.324878470083131,33828,55854,33006,22848,822
1,Angry28,0.8875790355755313,3.617129448572546,1.2856807412630735,49162,55854,46605,9249,2557
2,Angry28,0.8583248257801056,0.8890861742424242,-0.11756111426003098,56791,55854,48343,7511,8448
3,Angry28,0.8631848257609175,0.8085131195335277,-0.2125583730916503,57496,55854,48921,6933,8575
4,Angry28,0.8150939612456863,0.47046315369792013,-0.7540376360989531,63823,55854,48774,7080,15049
0,Agreement29,0.698143627067115,6.455062571103527,1.8648647176836197,33828,53008,30312,22696,3516
1,Agreement29,0.8526377605950867,1.6861730597680642,0.5224614994887958,49162,53008,43557,9451,5605
2,Agreement29,0.8692975345859252,0.5827726921804346,-0.5399580620038401,56791,53008,47724,5284,9067
3,Agreement29,0.8631904727430681,0.542180965010711,-0.6121554494856778,57496,53008,47693,5315,9803
4,Agreement29,0.8365245525588243,0.27692719128167415,-1.284000654703797,63823,53008,48866,4142,14957
0,Agreement31,0.8275332989431636,4.121366849960722,1.416184868040559,33828,41775,31282,10493,2546
1,Agreement31,0.8170931524022125,0.3849292256452956,-0.9546957910858038,49162,41775,37152,4623,12010
2,Agreement31,0.8178276484791916,0.08916656557078734,-2.417249135100391,56791,41775,40305,1470,16486
3,Agreement31,0.8218714428181443,0.05873548078074482,-2.8347112921478117,57496,41775,40794,981,16702
4,Agreement31,0.770582776188943,0.047067467692440676,-3.0561732237747217,63823,41775,40686,1089,23137
0,Agreement32,0.8645500132698244,2.365845192641444,0.8611353334246231,33828,37763,30947,6816,2881
1,Agreement32,0.8226862237561116,0.1497090854841116,-1.8990612981215649,49162,37763,35756,2007,13406
2,Agreement32,0.7796814518687734,0.04525840441545409,-3.0953668931442166,56791,37763,36861,902,19930
3,Agreement32,0.7686412832383291,0.055204443167672125,-2.896711836770435,57496,37763,36610,1153,20886
4,Agreement32,0.7225208197980036,0.039227252617608024,-3.238383553902143,63823,37763,36699,1064,27124
0,Disagreement30,0.687098249105726,1.8098055790363483,0.5932194246112961,33828,40534,25547,14987,8281
1,Disagreement30,0.8283981448448091,0.2815986677768526,-1.2672723856155037,49162,40534,37152,3382,12010
2,Disagreement30,0.7903621885435397,0.11309328968903437,-2.1795422283979713,56791,40534,38461,2073,18330
3,Disagreement30,0.7847801693359175,0.10867052023121387,-2.2194347246618755,57496,40534,38466,2068,19030
4,Disagreement30,0.7428730224134461,0.0707074737640158,-2.6492040007187287,63823,40534,38762,1772,25061
0,Disagreement33,0.7143872163167501,1.5034802784222738,0.4077826062485269,33828,37951,25639,12312,8189
